contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,T,impliedVolatilityNoAssumptions,moneyness
MSFT250627C00370000,2025-06-20 18:08:51+00:00,370.0,109.02,120.55,124.55,0.0,0.0,1.0,2.0,1.4384793701171876,True,REGULAR,USD,2025-06-27,2.0,152.58436190259226,0.7516200626841868
MSFT250627C00375000,2025-06-24 14:40:44+00:00,375.0,113.4,115.8,119.55,0.0,0.0,4.0,18.0,1.455080849609375,True,REGULAR,USD,2025-06-27,2.0,,0.7617770905582975
MSFT250627C00380000,2025-06-24 19:05:54+00:00,380.0,110.7,110.55,114.55,0.0,0.0,1.0,9.0,1.3193393408203122,True,REGULAR,USD,2025-06-27,2.0,-1.6685958059568247e+25,0.7719341184324081
MSFT250627C00385000,2025-06-23 19:06:30+00:00,385.0,101.24,105.55,109.55,0.0,0.0,48.0,63.0,1.2607458837890624,True,REGULAR,USD,2025-06-27,2.0,6.099734656660101e+54,0.7820911463065187
MSFT250627C00390000,2025-06-25 16:35:25+00:00,390.0,101.74,100.55,104.55,11.089996,12.233862,6.0,18.0,1.203128984375,True,REGULAR,USD,2025-06-27,2.0,-1.914541182131213e+20,0.7922481741806293
MSFT250627C00395000,2025-06-24 14:38:43+00:00,395.0,93.13,95.85,99.55,0.0,0.0,1.0,82.0,1.22266013671875,True,REGULAR,USD,2025-06-27,2.0,8.705982043707184e+284,0.80240520205474
MSFT250627C00400000,2025-06-25 19:24:14+00:00,400.0,91.92,90.55,94.55,0.6399994,0.7011387,51.0,178.0,1.087895185546875,True,REGULAR,USD,2025-06-27,2.0,-3.754035998574854e+34,0.8125622299288506
MSFT250627C00405000,2025-06-25 13:43:23+00:00,405.0,89.01,85.7,89.55,2.1700058,2.4988554,4.0,30.0,1.0693405908203126,True,REGULAR,USD,2025-06-27,2.0,-1361780441836.9905,0.8227192578029612
MSFT250627C00410000,2025-06-24 19:45:45+00:00,410.0,83.53,80.55,84.7,3.5299988,4.4124985,8.0,62.0,1.01172369140625,True,REGULAR,USD,2025-06-27,2.0,-2.798346915809868e+23,0.8328762856770718
MSFT250627C00415000,2025-06-25 19:26:02+00:00,415.0,76.69,75.55,79.5,0.9000015,1.1874938,2.0,53.0,0.9062509375,True,REGULAR,USD,2025-06-27,2.0,0.0017666425259895424,0.8430333135511825
MSFT250627C00420000,2025-06-25 19:53:58+00:00,420.0,72.83,71.2,74.5,2.0999985,2.969035,6.0,155.0,0.9750979052734375,True,REGULAR,USD,2025-06-27,2.0,0.0035183356482131056,0.8531903414252932
MSFT250627C00425000,2025-06-25 17:56:55+00:00,425.0,66.18,66.35,69.6,0.3199997,0.48587868,5.0,81.0,0.9487309814453124,True,REGULAR,USD,2025-06-27,2.0,2.307616319376525e+54,0.8633473692994037
MSFT250627C00427500,2025-06-25 15:01:41+00:00,427.5,65.87,63.85,67.1,15.160004,29.895493,1.0,7.0,0.9174812939453125,True,REGULAR,USD,2025-06-27,2.0,-0.0002851306187443836,0.8684258832364591
MSFT250627C00430000,2025-06-25 15:51:41+00:00,430.0,62.36,60.95,64.6,1.6100006,2.6502068,1.0,295.0,0.8320329296874999,True,REGULAR,USD,2025-06-27,2.0,8.943466905385125e+67,0.8735043971735144
MSFT250627C00432500,2025-06-20 18:12:11+00:00,432.5,47.0,58.15,61.95,0.0,0.0,2.0,2.0,0.7251004052734374,True,REGULAR,USD,2025-06-27,2.0,0.00023094744269541723,0.8785829111105697
MSFT250627C00435000,2025-06-25 19:51:36+00:00,435.0,57.4,56.0,59.5,1.0400009,1.845282,15.0,125.0,0.7656273437500001,True,REGULAR,USD,2025-06-27,2.0,1.0433808904686695e+23,0.883661425047625
MSFT250627C00437500,2025-06-20 19:41:30+00:00,437.5,40.4,53.55,57.0,0.0,0.0,1.0,1.0,0.743166630859375,True,REGULAR,USD,2025-06-27,2.0,1.3507353594658695e+27,0.8887399389846803
MSFT250627C00440000,2025-06-25 19:32:46+00:00,440.0,51.11,51.25,54.6,-0.5099983,-0.9879859,15.0,143.0,0.7509790527343749,True,REGULAR,USD,2025-06-27,2.0,87725.71339682635,0.8938184529217357
MSFT250627C00442500,2025-06-20 18:50:33+00:00,442.5,36.38,48.9,52.1,0.0,0.0,1.0,1.0,0.73633076171875,True,REGULAR,USD,2025-06-27,2.0,-270417760.85102946,0.898896966858791
MSFT250627C00445000,2025-06-25 15:58:05+00:00,445.0,47.2,46.75,49.4,1.8699989,4.125301,9.0,182.0,0.7202176416015625,True,REGULAR,USD,2025-06-27,2.0,12769.83314248303,0.9039754807958463
MSFT250627C00447500,2025-06-24 19:46:51+00:00,447.5,42.73,43.8,47.1,0.0,0.0,16.0,23.0,0.6635775830078127,True,REGULAR,USD,2025-06-27,2.0,-49505.44576409569,0.9090539947329016
MSFT250627C00450000,2025-06-25 19:51:15+00:00,450.0,42.3,41.6,44.5,1.4500008,3.5495737,22.0,320.0,0.6518589501953126,True,REGULAR,USD,2025-06-27,2.0,-5.8426465074711474e+237,0.9141325086699569
